,   THE TOP 15 WORDS FOR TOPIC #0,   THE TOP 15 WORDS FOR TOPIC #1,   THE TOP 15 WORDS FOR TOPIC #2,   THE TOP 15 WORDS FOR TOPIC #3,   THE TOP 15 WORDS FOR TOPIC #4,   THE TOP 15 WORDS FOR TOPIC #5,   THE TOP 15 WORDS FOR TOPIC #6,   THE TOP 15 WORDS FOR TOPIC #7,   THE TOP 15 WORDS FOR TOPIC #8,   THE TOP 15 WORDS FOR TOPIC #9
0,0                     prnewswire,0                     technology,0                        revenue,0                          visit,0                       language,0                           time,0                           said,0                       20090416,0                        clients,0                      customers
1,1                           help,1                     developers,1                      increased,1                            new,1                       platform,1                      companies,1                     prnewswire,1                        smarter,1                         supply,1                   applications
2,2                       customer,2                        servers,2                            non,2                     technology,2                          based,2                         access,2                           help,2                         energy,2                      companies,2                         global
3,3                       software,3                        clients,3                          sales,3                       business,3                       insights,3                   capabilities,3                        science,3                            cgi,3                           said,3                       platform
4,4                      marketing,4                      computing,4                          study,4                          media,4                      computing,4                       research,4                           http,4                            bin,4                       partners,4                           data
5,5                           time,5                          based,5                       business,5                          world,5                    information,5                    information,5                    information,5                        newscom,5                      financial,5                      solutions
6,6                       insights,6                           open,6                          share,6                       20090416,6                        medical,6                           risk,6                           city,6                        contact,6                      solutions,6                     enterprise
7,7                           http,7                   applications,7                      consumers,7                    information,7                           help,7                     management,7                         center,7                           prnh,7                           help,7                       business
8,8                    information,8                       software,8                         online,8                           data,8                     healthcare,8                            new,8                      computing,8                            new,8                        digital,8                            new
9,9                            new,9                    performance,9                       customer,9                           prnh,9                           data,9                   intelligence,9                       students,9                       services,9                       services,9                 infrastructure
10,10                           big,10                          data,10                       company,10                      services,10                          care,10                          help,10                           new,10                    management,10                    technology,10                        hybrid
11,11                        social,11                           new,11                          year,11                       company,11                           new,11                 organizations,11                         world,11                      business,11                           new,11                       service
12,12                      business,12                         power,12                       billion,12                        photos,12                     cognitive,12                            ai,12                    technology,12                   information,12                      industry,12                       clients
13,13                     analytics,13                       storage,13                        mobile,13                          http,13                        health,13                          data,13                    university,13                      software,13                        global,13                      services
14,14                          data,14                       systems,14                       percent,14                    prnewswire,14                        watson,14                      security,14                      research,14                          http,14                      business,14                         cloud
